,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
0,0.16,0.14,241.16,0.8,0,2,1,14,8,3
1,0.358,0.168,240.59,1.6,1,0,0,8,7,1
2,1.522,0.306,240.23,6.4,0,2,19,17,5,21
3,0.216,0.126,242.49,1.0,0,1,1,4,8,2
4,0.148,0.0,237.37,0.6,0,0,0,13,5,0
5,1.138,0.0,236.33,4.8,0,0,17,27,4,17
6,0.212,0.132,240.82,1.0,0,0,0,18,8,0
7,1.686,0.188,240.18,7.0,0,1,18,21,3,19
8,1.378,0.06,242.44,5.6,0,0,18,22,2,18
9,1.646,0.092,242.36,7.0,0,20,0,16,9,20
10,6.486,0.364,236.35,27.4,0,74,17,4,3,91
11,0.412,0.11,241.73,2.0,0,1,0,29,6,1
12,0.372,0.068,243.16,1.6,0,0,0,4,12,0
13,1.786,0.216,240.79,7.4,0,4,0,23,10,4
14,0.228,0.146,243.62,1.0,0,2,0,15,8,2
15,1.628,0.0,239.99,6.8,0,0,18,9,6,18
16,2.246,0.0,239.51,9.4,1,0,18,30,3,19
17,1.4,0.05,241.21,5.8,0,0,18,16,10,18
18,0.354,0.118,242.13,1.6,0,0,0,16,9,0
19,1.516,0.114,250.1,6.0,0,1,20,18,12,21
20,0.25,0.0,249.92,1.0,0,0,0,16,12,0
21,0.502,0.24,241.72,2.4,0,1,0,16,6,1
22,0.252,0.1,239.67,1.2,0,2,1,9,9,3
23,0.118,0.0,235.33,0.6,0,0,0,25,4,0
24,0.232,0.0,245.94,0.8,0,0,1,29,11,1
25,0.61,0.074,243.92,2.6,0,0,1,23,10,1
26,0.27,0.238,240.77,1.4,0,0,0,18,6,0
27,1.576,0.176,239.75,6.6,2,2,19,16,6,23
28,0.364,0.204,242.31,1.8,0,0,0,14,7,0
29,0.542,0.0,241.22,2.2,0,0,1,26,4,1
30,0.604,0.134,241.19,2.8,1,2,0,14,1,3
31,0.322,0.12,248.64,1.4,0,0,0,22,12,0
32,0.298,0.1,242.69,1.2,0,0,1,29,6,1
33,0.576,0.166,239.49,2.4,0,1,0,6,10,1
34,0.468,0.184,233.9,2.4,0,0,0,11,5,0
35,2.326,0.0,239.58,9.6,0,0,17,8,2,17
36,1.434,0.0,242.38,5.8,0,0,18,18,12,18
