Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
0.16,0.14,241.16,0.8,0,2,1,14,8,3
0.358,0.168,240.59,1.6,1,0,0,8,7,1
1.522,0.306,240.23,6.4,0,2,19,17,5,21
0.216,0.126,242.49,1.0,0,1,1,4,8,2
0.148,0.0,237.37,0.6,0,0,0,13,5,0
1.138,0.0,236.33,4.8,0,0,17,27,4,17
0.212,0.132,240.82,1.0,0,0,0,18,8,0
1.686,0.188,240.18,7.0,0,1,18,21,3,19
1.378,0.06,242.44,5.6,0,0,18,22,2,18
1.646,0.092,242.36,7.0,0,20,0,16,9,20
6.486,0.364,236.35,27.4,0,74,17,4,3,91
0.412,0.11,241.73,2.0,0,1,0,29,6,1
0.372,0.068,243.16,1.6,0,0,0,4,12,0
1.786,0.216,240.79,7.4,0,4,0,23,10,4
0.228,0.146,243.62,1.0,0,2,0,15,8,2
1.628,0.0,239.99,6.8,0,0,18,9,6,18
2.246,0.0,239.51,9.4,1,0,18,30,3,19
1.4,0.05,241.21,5.8,0,0,18,16,10,18
0.354,0.118,242.13,1.6,0,0,0,16,9,0
1.516,0.114,250.1,6.0,0,1,20,18,12,21
0.25,0.0,249.92,1.0,0,0,0,16,12,0
0.502,0.24,241.72,2.4,0,1,0,16,6,1
0.252,0.1,239.67,1.2,0,2,1,9,9,3
0.118,0.0,235.33,0.6,0,0,0,25,4,0
0.232,0.0,245.94,0.8,0,0,1,29,11,1
0.61,0.074,243.92,2.6,0,0,1,23,10,1
0.27,0.238,240.77,1.4,0,0,0,18,6,0
1.576,0.176,239.75,6.6,2,2,19,16,6,23
0.364,0.204,242.31,1.8,0,0,0,14,7,0
0.542,0.0,241.22,2.2,0,0,1,26,4,1
0.604,0.134,241.19,2.8,1,2,0,14,1,3
0.322,0.12,248.64,1.4,0,0,0,22,12,0
0.298,0.1,242.69,1.2,0,0,1,29,6,1
0.576,0.166,239.49,2.4,0,1,0,6,10,1
0.468,0.184,233.9,2.4,0,0,0,11,5,0
2.326,0.0,239.58,9.6,0,0,17,8,2,17
1.434,0.0,242.38,5.8,0,0,18,18,12,18
0.502,0.268,243.46,2.2,0,0,0,7,12,0
2.88,0.102,244.6,11.8,40,0,0,18,3,40
2.308,0.0,242.06,9.4,0,0,0,26,12,0
0.244,0.0,244.08,1.0,0,0,0,20,1,0
0.812,0.0,241.33,3.4,0,0,0,12,12,0
1.94,0.0,244.9,8.0,0,0,19,28,4,19
0.146,0.0,240.8,0.6,0,0,1,20,7,1
0.258,0.178,241.87,1.2,0,1,1,10,8,2
1.18,0.0,238.65,4.8,0,0,18,12,7,18
1.398,0.098,246.03,5.6,0,0,0,29,12,0
1.834,0.148,243.69,7.6,0,0,19,20,6,19
0.402,0.102,244.4,1.8,0,0,0,27,3,0
1.382,0.25,241.88,5.8,0,1,19,23,7,20
1.336,0.0,245.01,5.4,0,0,18,24,2,18
0.682,0.102,243.33,2.8,0,0,1,12,11,1
0.94,0.142,239.25,4.0,0,7,0,1,3,7
0.292,0.104,241.08,1.2,0,0,0,19,9,0
1.99,0.312,247.31,8.2,0,7,20,16,12,27
0.246,0.068,243.79,1.0,0,1,0,12,9,1
0.256,0.048,241.24,1.2,0,0,0,3,11,0
2.82,0.168,238.64,11.8,0,1,17,28,3,18
1.73,0.0,235.74,7.2,0,0,17,16,10,17
0.246,0.114,241.53,1.0,0,0,1,3,9,1
3.062,0.142,241.97,12.6,0,2,18,16,12,20
2.854,0.112,241.29,11.8,38,1,0,14,2,39
1.424,0.202,237.96,6.0,0,2,17,29,10,19
3.112,0.268,233.25,13.4,0,2,17,18,11,19
0.302,0.0,246.71,1.2,0,0,0,28,11,0
1.41,0.086,239.24,5.8,2,0,19,16,6,21
1.058,0.0,235.28,4.4,1,0,0,7,6,1
0.26,0.28,242.87,1.4,0,1,0,9,8,1
1.218,0.184,235.9,5.2,0,0,0,21,1,0
0.25,0.098,240.6,1.0,0,0,0,15,7,0
4.782,0.06,236.78,20.2,0,0,18,16,2,18
0.818,0.092,240.87,3.4,0,0,0,17,2,0
2.548,0.05,237.51,10.6,0,0,0,11,3,0
0.286,0.168,242.64,1.4,0,0,1,20,7,1
0.564,0.0,237.45,2.4,0,0,0,29,11,0
0.28,0.05,237.82,1.2,0,0,0,22,5,0
0.252,0.148,241.17,1.2,0,0,1,27,8,1
0.24,0.0,243.23,1.0,0,0,1,21,6,1
0.16,0.126,242.04,0.8,0,0,1,23,8,1
0.332,0.054,245.52,1.4,0,0,1,8,5,1
0.814,0.198,240.17,3.4,0,0,12,3,8,12
