Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
14/8/2008,09:23:00,0.160,0.140,241.160,0.800,0.000,2.000,1.0
8/7/2007,13:24:00,0.358,0.168,240.590,1.600,1.000,0.000,0.0
7/11/2010,18:00:00,1.66,0.06,232.59,7.2,0.0,1.0,1.0
17/5/2008,11:21:00,1.522,0.306,240.230,6.400,0.000,2.000,19.0
4/8/2009,01:03:00,0.216,0.126,242.490,1.000,0.000,1.000,1.0
13/5/2007,03:41:00,0.148,0.000,237.370,0.600,0.000,0.000,0.0
27/4/2007,00:53:00,1.138,0.000,236.330,4.800,0.000,0.000,17.0
18/8/2007,09:02:00,0.212,0.132,240.820,1.000,0.000,0.000,0.0
21/3/2010,14:28:00,1.686,0.188,240.180,7.000,0.000,1.000,18.0
22/2/2008,02:12:00,1.378,0.060,242.440,5.600,0.000,0.000,18.0
16/9/2009,13:21:00,1.646,0.092,242.360,7.000,0.000,20.000,0.0
4/3/2007,16:33:00,6.486,0.364,236.350,27.400,0.000,74.000,17.0
29/6/2008,23:05:00,0.412,0.110,241.730,2.000,0.000,1.000,0.0
4/12/2008,05:47:00,0.372,0.068,243.160,1.600,0.000,0.000,0.0
23/10/2010,19:25:00,1.786,0.216,240.790,7.400,0.000,4.000,0.0
15/8/2009,04:10:00,0.228,0.146,243.620,1.000,0.000,2.000,0.0
9/6/2010,19:58:00,1.628,0.000,239.990,6.800,0.000,0.000,18.0
30/3/2008,21:25:00,2.246,0.000,239.510,9.400,1.000,0.000,18.0
16/10/2009,09:39:00,1.400,0.050,241.210,5.800,0.000,0.000,18.0
16/9/2009,00:32:00,0.354,0.118,242.130,1.600,0.000,0.000,0.0
18/12/2009,16:13:00,1.516,0.114,250.100,6.000,0.000,1.000,20.0
16/12/2009,03:54:00,0.250,0.000,249.920,1.000,0.000,0.000,0.0
13/11/2010,02:43:00,0.416,0.182,244.66,1.8,0.0,0.0,0.0
16/6/2010,16:54:00,0.502,0.240,241.720,2.400,0.000,1.000,0.0
9/9/2008,04:32:00,0.252,0.100,239.670,1.200,0.000,2.000,1.0
25/4/2007,18:32:00,0.118,0.000,235.330,0.600,0.000,0.000,0.0
29/11/2009,06:20:00,0.232,0.000,245.940,0.800,0.000,0.000,1.0
23/10/2010,10:13:00,0.610,0.074,243.920,2.600,0.000,0.000,1.0
18/6/2007,12:45:00,0.270,0.238,240.770,1.400,0.000,0.000,0.0
16/6/2010,08:37:00,1.576,0.176,239.750,6.600,2.000,2.000,19.0
14/7/2010,10:14:00,0.364,0.204,242.310,1.800,0.000,0.000,0.0
26/4/2008,22:14:00,0.542,0.000,241.220,2.200,0.000,0.000,1.0
14/1/2008,22:29:00,0.604,0.134,241.190,2.800,1.000,2.000,0.0
22/12/2009,02:21:00,0.322,0.120,248.640,1.400,0.000,0.000,0.0
29/6/2009,13:44:00,0.298,0.100,242.690,1.200,0.000,0.000,1.0
2/11/2010,21:40:00,1.328,0.17,245.31,5.4,0.0,0.0,1.0
6/10/2007,16:37:00,0.576,0.166,239.490,2.400,0.000,1.000,0.0
11/5/2007,10:20:00,0.468,0.184,233.900,2.400,0.000,0.000,0.0
8/2/2008,07:41:00,2.326,0.000,239.580,9.600,0.000,0.000,17.0
18/12/2006,12:40:00,1.434,0.000,242.380,5.800,0.000,0.000,18.0
7/12/2008,01:06:00,0.502,0.268,243.460,2.200,0.000,0.000,0.0
18/3/2007,14:25:00,2.880,0.102,244.600,11.800,40.000,0.000,0.0
26/12/2006,05:38:00,2.308,0.000,242.060,9.400,0.000,0.000,0.0
20/1/2008,02:33:00,0.244,0.000,244.080,1.000,0.000,0.000,0.0
12/12/2007,17:14:00,0.812,0.000,241.330,3.400,0.000,0.000,0.0
28/4/2009,07:29:00,1.940,0.000,244.900,8.000,0.000,0.000,19.0
20/7/2008,16:43:00,0.146,0.000,240.800,0.600,0.000,0.000,1.0
10/8/2009,07:21:00,0.258,0.178,241.870,1.200,0.000,1.000,1.0
12/7/2007,01:16:00,1.180,0.000,238.650,4.800,0.000,0.000,18.0
29/12/2007,06:32:00,1.398,0.098,246.030,5.600,0.000,0.000,0.0
20/6/2009,00:25:00,1.834,0.148,243.690,7.600,0.000,0.000,19.0
27/3/2009,01:10:00,0.402,0.102,244.400,1.800,0.000,0.000,0.0
23/7/2009,19:45:00,1.382,0.250,241.880,5.800,0.000,1.000,19.0
24/2/2008,02:15:00,1.336,0.000,245.010,5.400,0.000,0.000,18.0
12/11/2009,17:46:00,0.682,0.102,243.330,2.800,0.000,0.000,1.0
1/3/2008,21:15:00,0.940,0.142,239.250,4.000,0.000,7.000,0.0
21/8/2010,21:09:00,?,?,?,?,?,?,
19/9/2008,16:26:00,0.292,0.104,241.080,1.200,0.000,0.000,0.0
16/12/2009,16:03:00,1.990,0.312,247.310,8.200,0.000,7.000,20.0
12/9/2010,16:38:00,0.246,0.068,243.790,1.000,0.000,1.000,0.0
3/11/2008,23:10:00,0.256,0.048,241.240,1.200,0.000,0.000,0.0
28/3/2008,20:48:00,2.820,0.168,238.640,11.800,0.000,1.000,17.0
16/10/2008,10:31:00,1.730,0.000,235.740,7.200,0.000,0.000,17.0
3/9/2008,03:20:00,0.246,0.114,241.530,1.000,0.000,0.000,1.0
16/12/2008,07:12:00,3.062,0.142,241.970,12.600,0.000,2.000,18.0
14/2/2007,22:31:00,2.854,0.112,241.290,11.800,38.000,1.000,0.0
29/10/2007,11:14:00,1.424,0.202,237.960,6.000,0.000,2.000,17.0
18/11/2008,19:35:00,3.112,0.268,233.250,13.400,0.000,2.000,17.0
28/11/2007,15:15:00,0.302,0.000,246.710,1.200,0.000,0.000,0.0
16/6/2009,09:11:00,1.410,0.086,239.240,5.800,2.000,0.000,19.0
7/6/2007,21:30:00,1.058,0.000,235.280,4.400,1.000,0.000,0.0
9/8/2008,14:51:00,0.260,0.280,242.870,1.400,0.000,1.000,0.0
21/1/2008,18:57:00,1.218,0.184,235.900,5.200,0.000,0.000,0.0
15/7/2009,14:40:00,0.250,0.098,240.600,1.000,0.000,0.000,0.0
16/2/2010,06:58:00,4.782,0.060,236.780,20.200,0.000,0.000,18.0
17/2/2010,07:11:00,0.818,0.092,240.870,3.400,0.000,0.000,0.0
11/3/2007,10:00:00,2.548,0.050,237.510,10.600,0.000,0.000,0.0
20/7/2009,17:07:00,0.286,0.168,242.640,1.400,0.000,0.000,1.0
29/11/2009,20:04:00,0.564,0.000,237.450,2.400,0.000,0.000,0.0
22/5/2007,16:11:00,0.280,0.050,237.820,1.200,0.000,0.000,0.0
27/8/2009,12:53:00,0.252,0.148,241.170,1.200,0.000,0.000,1.0
21/6/2009,04:26:00,0.240,0.000,243.230,1.000,0.000,0.000,1.0
23/8/2008,17:02:00,0.160,0.126,242.040,0.800,0.000,0.000,1.0
8/5/2010,04:55:00,0.332,0.054,245.520,1.400,0.000,0.000,1.0
3/8/2010,07:17:00,0.814,0.198,240.170,3.400,0.000,0.000,12.0
15/12/2009,22:01:00,2.080,0.244,244.040,8.400,1.000,0.000,19.0
17/6/2009,18:07:00,1.286,0.070,239.950,5.200,0.000,0.000,18.0
5/4/2007,09:24:00,1.652,0.104,239.890,6.800,0.000,0.000,17.0
19/5/2010,22:19:00,1.410,0.162,241.800,5.800,0.000,0.000,12.0
4/2/2008,09:09:00,1.526,0.054,236.440,6.600,0.000,0.000,17.0
27/11/2007,02:36:00,0.228,0.000,246.740,1.000,0.000,0.000,0.0
3/7/2009,01:16:00,0.226,0.112,240.460,1.000,0.000,0.000,1.0
1/1/2008,11:47:00,2.004,0.000,243.390,8.200,2.000,1.000,18.0
24/9/2009,06:05:00,0.130,0.000,240.410,0.600,0.000,0.000,1.0
4/11/2009,08:22:00,1.528,0.194,238.770,6.400,0.000,0.000,18.0
9/2/2007,04:04:00,0.230,0.000,244.650,1.000,0.000,0.000,0.0
28/6/2008,21:50:00,0.706,0.204,240.390,3.400,0.000,1.000,1.0
12/5/2008,11:43:00,1.746,0.178,239.160,7.400,1.000,1.000,18.0
22/8/2010,08:43:00,?,?,?,?,?,?,
21/1/2008,22:41:00,1.446,0.112,241.870,6.000,0.000,0.000,0.0
10/4/2008,23:26:00,2.802,0.000,243.000,11.400,0.000,0.000,19.0
2/7/2009,19:45:00,0.398,0.210,243.940,1.800,0.000,0.000,0.0
3/12/2009,05:46:00,0.304,0.000,245.870,1.200,0.000,0.000,1.0
28/7/2010,09:07:00,1.994,0.282,236.960,8.400,0.000,0.000,30.0
30/11/2008,14:26:00,2.024,0.350,246.220,8.200,0.000,1.000,18.0
13/8/2009,06:22:00,?,?,?,?,?,?,
7/1/2010,19:09:00,1.942,0.000,242.530,8.000,0.000,0.000,0.0
23/9/2009,13:35:00,1.494,0.218,242.200,6.200,0.000,0.000,18.0
16/11/2009,05:32:00,0.372,0.190,243.360,1.600,0.000,0.000,1.0
28/2/2010,09:18:00,0.520,0.090,239.660,2.200,0.000,0.000,1.0
4/11/2010,06:37:00,0.342,0.096,247.84,1.4,0.0,1.0,1.0
3/7/2010,19:57:00,0.430,0.092,241.410,1.800,0.000,0.000,0.0
25/12/2007,21:31:00,2.586,0.130,240.620,10.600,0.000,1.000,0.0
19/11/2010,13:40:00,1.608,0.12,241.43,6.6,0.0,0.0,17.0
23/2/2007,09:02:00,1.478,0.066,241.530,6.200,0.000,0.000,18.0
29/10/2010,14:58:00,1.742,0.118,246.92,7.0,0.0,0.0,19.0
30/9/2008,00:54:00,0.348,0.102,241.880,1.400,0.000,1.000,0.0
12/7/2010,04:56:00,0.242,0.078,239.040,1.000,0.000,0.000,0.0
25/4/2010,16:25:00,0.484,0.178,241.910,2.000,0.000,0.000,1.0
21/1/2010,02:37:00,0.346,0.142,244.070,1.400,0.000,0.000,0.0
17/1/2007,16:29:00,2.176,0.320,244.860,9.000,0.000,2.000,18.0
16/5/2008,05:54:00,0.280,0.104,240.190,1.200,0.000,1.000,1.0
8/8/2007,06:44:00,0.268,0.216,235.110,1.400,0.000,0.000,0.0
18/10/2009,14:58:00,0.424,0.202,242.680,1.800,0.000,2.000,0.0
7/10/2008,15:16:00,0.630,0.220,240.150,2.800,0.000,1.000,1.0
30/5/2010,20:11:00,4.240,0.344,236.890,17.800,0.000,37.000,18.0
10/2/2009,08:23:00,1.522,0.050,240.100,6.200,0.000,0.000,18.0
25/3/2009,06:30:00,1.448,0.118,246.000,5.800,0.000,1.000,18.0
8/2/2009,02:10:00,1.346,0.052,244.250,5.400,0.000,0.000,18.0
10/2/2010,20:06:00,2.098,0.156,239.760,8.600,0.000,0.000,0.0
7/5/2009,10:34:00,1.418,0.092,240.270,5.800,0.000,0.000,19.0
28/4/2008,11:47:00,0.788,0.224,240.730,3.400,0.000,2.000,1.0
12/2/2008,02:04:00,0.326,0.118,245.580,1.400,0.000,0.000,0.0
1/8/2009,07:00:00,0.140,0.000,243.070,0.600,0.000,0.000,0.0
15/9/2009,11:17:00,1.400,0.222,238.540,5.800,0.000,1.000,18.0
21/8/2007,16:26:00,0.108,0.000,240.210,0.400,0.000,0.000,0.0
25/8/2008,08:06:00,0.234,0.238,240.660,1.400,0.000,1.000,1.0
16/9/2010,06:57:00,2.072,0.278,237.990,8.800,0.000,1.000,28.0
26/9/2007,04:24:00,0.208,0.000,241.690,0.800,0.000,0.000,0.0
25/2/2007,02:01:00,0.218,0.000,241.770,0.800,0.000,0.000,0.0
15/11/2009,14:51:00,0.304,0.094,245.670,1.200,0.000,1.000,1.0
18/7/2007,19:59:00,0.190,0.072,233.780,0.800,0.000,0.000,0.0
11/10/2009,11:04:00,4.514,0.842,237.060,19.400,0.000,37.000,30.0
3/1/2007,02:05:00,0.256,0.062,247.200,1.200,0.000,0.000,0.0
5/9/2007,06:51:00,2.244,0.000,240.530,9.200,0.000,1.000,18.0
12/6/2009,11:26:00,0.474,0.214,240.950,2.200,0.000,0.000,1.0
17/9/2008,23:17:00,0.684,0.242,240.140,3.000,0.000,2.000,1.0
3/1/2010,18:14:00,1.350,0.352,239.850,6.000,0.000,0.000,0.0
26/10/2007,00:29:00,0.548,0.100,242.460,2.600,0.000,0.000,0.0
30/3/2010,10:52:00,1.460,0.232,238.980,6.200,0.000,2.000,18.0
15/11/2009,03:29:00,0.300,0.080,243.660,1.200,0.000,0.000,1.0
9/1/2009,04:46:00,0.270,0.000,247.990,1.200,0.000,0.000,0.0
29/8/2010,21:12:00,3.578,0.294,234.850,15.200,1.000,1.000,29.0
10/2/2008,03:17:00,0.422,0.210,244.850,2.000,0.000,0.000,0.0
3/5/2010,04:17:00,0.326,0.076,240.910,1.400,0.000,1.000,1.0
14/6/2009,15:02:00,?,?,?,?,?,?,
27/10/2008,03:07:00,0.286,0.072,243.530,1.200,0.000,1.000,0.0
1/9/2008,00:17:00,1.448,0.218,243.400,6.000,0.000,0.000,19.0
31/3/2008,04:22:00,0.400,0.240,244.120,1.800,0.000,1.000,0.0
20/6/2007,11:21:00,0.298,0.000,238.220,1.600,0.000,0.000,0.0
6/12/2007,06:15:00,1.526,0.000,241.420,6.400,0.000,0.000,18.0
7/11/2008,20:21:00,2.554,0.164,237.960,11.200,0.000,0.000,0.0
22/5/2010,05:38:00,0.404,0.078,240.390,1.800,0.000,0.000,1.0
14/10/2007,17:29:00,0.568,0.080,239.630,2.400,0.000,0.000,0.0
29/4/2009,13:49:00,1.644,0.210,242.800,6.800,2.000,0.000,18.0
8/5/2010,06:23:00,0.362,0.102,246.880,1.400,0.000,0.000,0.0
23/3/2010,08:38:00,3.110,0.198,235.240,13.800,0.000,2.000,18.0
27/5/2009,10:41:00,3.148,0.000,226.210,14.400,0.000,29.000,17.0
29/8/2010,19:33:00,1.584,0.202,240.510,6.600,0.000,0.000,18.0
14/9/2009,13:41:00,0.722,0.274,242.760,3.200,0.000,2.000,0.0
22/7/2008,01:20:00,0.318,0.216,239.700,1.600,0.000,0.000,1.0
3/2/2007,12:32:00,1.712,0.068,238.980,7.200,0.000,0.000,17.0
1/8/2009,12:42:00,0.306,0.262,242.550,1.600,0.000,1.000,1.0
9/12/2008,02:15:00,0.298,0.080,247.040,1.200,0.000,1.000,0.0
25/5/2008,04:59:00,0.356,0.284,242.780,1.800,0.000,1.000,0.0
4/10/2010,13:42:00,0.412,0.072,240.980,1.800,0.000,1.000,1.0
11/1/2008,09:43:00,1.634,0.000,237.010,6.800,0.000,0.000,17.0
5/6/2008,18:45:00,0.306,0.000,235.460,1.600,0.000,0.000,1.0
15/3/2008,21:30:00,0.928,0.218,239.580,4.000,0.000,2.000,0.0
22/12/2008,19:28:00,1.388,0.056,239.480,5.800,0.000,0.000,0.0
28/3/2009,18:57:00,4.464,0.494,237.180,20.600,43.000,0.000,17.0
